名稱,地址,電話號碼,設立日期
台北中路,台北市 中山區 民權西路19號5樓,02-25850211,2014-01-08
台中黎明,臺中市 南屯區 黎明路一段812-10號2樓,04-23861507,2014-01-08
中壢千展,桃園市 中壢區 中央東路88號21樓之1,03-4266090,2014-01-08
高雄齊納福,高雄市苓雅區 中正二路20號5樓,07-9686688,2014-01-08
台南喜樂多,臺南市 東區 東門路三段253號7樓之1,06-2891739,2014-01-08
新北信義,新北市 板橋區 信義路103號1樓,02-29540808,2014-01-08
高雄中山,高雄市 前鎮區 中山二路91號20樓之1,07-3347815,2014-01-08
台北站前,臺北市 中正區 忠孝西路一段50號24樓之1,02-23317882,2014-01-08
台北忠孝聯合,臺北市 中正區 羅斯福路二段70號4樓之1,02-23218809,2014-01-09
桃園富豪,桃園市 桃園區 中正路1015號5樓,03-3566300,2014-02-05
台中冠軍,臺中市 北區 忠明路428號,04-22026497,2014-10-01
台中朝馬,臺中市 西屯區 台灣大道三段556巷1弄32號,04-24519028,2015-04-16
屏東信望愛,屏東縣屏東市 和平路354號4樓,08-7661909,2015-07-01
竹北耀威,新竹縣 竹北市 新泰路92號4樓,03-5535019,2015-08-03
台中中港,台中市 西屯區 台灣大道三段220號,04-23128770,2015-08-03
台中1491,台中市 北區 崇德路一段579號6樓之一,04-22349191,2015-08-17
新北文化,新北市 板橋區 文化路一段333號3樓之1,02-22581303,2015-11-02
桃園尚倫,桃園市 桃園區 建國路101號2樓,03-3665226,2015-11-02
南投千峰,南投縣 草屯鎮 新生路64號,04-92359292,2016-01-04
嘉義六合,嘉義市西區 劉厝路219號,05-2833033,2016-03-16
台中潭子,台中市潭子區 中山路二段178號,04-25355400,2016-03-16
草屯勝利,南投縣草屯鎮 成功路一段142號,04-92330142,2016-04-01
桃園龍潭,桃園市龍潭區 中豐路313號,03-4990628,2016-04-01
新北板橋,新北市板橋區 長江路三段62號,02-82588067,2016-05-16
台中豐原,台中市 豐原區 圓環北路一段226-2號3樓,04-25270788,2016-09-01
台東太平洋,台東縣台東市 四維路一段377號,08-9343849,2016-09-16
新竹幸福,新竹市 中正路20號3樓之2,03-5350251,2016-10-17
新北卓越,新北市新店區 民權路88號2樓之4,02-22188088,2016-11-01
花蓮成功,花蓮縣吉安鄉 自強路278號,03-8535086,2016-11-01
宜蘭禾家康,宜蘭縣 羅東鎮 傳藝路三段216號2樓,03-9531532,2016-11-01
高雄鳳山,高雄市 鳳山區 八德路199號2樓,07-7677619,2016-12-17
苗栗向陽,苗栗縣 竹南鎮 三平路1號,03-7631549,2017-05-16
雲林斗六,雲林縣 斗六市 明德北路二段407號,05-5335066,2017-06-16
